tissue,gene,component,n_eqtl_in_window,n_top_overlap,n_pos,n_neg,sign_coherence,mean_NES,median_NES
Whole_Blood,MICA,c4,1067,175,0,175,1.0,-0.3645817257142858,-0.350754
Whole_Blood,MICA,c6,1067,297,0,297,1.0,-0.3489905521885522,-0.350754
Whole_Blood,MICA,c5,1067,0,0,0,,,
Whole_Blood,HLA-B,c4,2146,184,183,1,0.9945652173913043,0.14764553586956522,0.172884
Whole_Blood,HLA-B,c6,2146,254,254,0,1.0,0.14527233503937007,0.156777
Whole_Blood,HLA-B,c5,2146,229,229,0,1.0,0.14512410305676857,0.157607
Whole_Blood,HLA-C,c4,2385,194,123,71,0.634020618556701,0.050117242268041234,0.20176899999999998
Whole_Blood,HLA-C,c6,2385,164,164,0,1.0,0.19015290853658534,0.203963
Whole_Blood,HLA-C,c5,2385,296,0,296,1.0,-0.24981408783783787,-0.238051
Liver,MICA,c4,489,178,0,178,1.0,-0.4445335393258428,-0.41196750000000004
Liver,MICA,c6,489,296,0,296,1.0,-0.45237145945945945,-0.416606
Liver,MICA,c5,489,0,0,0,,,
Liver,HLA-B,c4,317,0,0,0,,,
Liver,HLA-B,c6,317,0,0,0,,,
Liver,HLA-B,c5,317,52,52,0,1.0,0.2586586346153846,0.264448
Liver,HLA-C,c4,1466,72,0,72,1.0,-0.6437796527777778,-0.593932
Liver,HLA-C,c6,1466,27,0,27,1.0,-0.46873103703703706,-0.474994
Liver,HLA-C,c5,1466,273,0,273,1.0,-0.6214670183150184,-0.634795
Cells_EBV-transformed_lymphocytes,MICA,c4,338,100,0,100,1.0,-0.5144953099999999,-0.594619
Cells_EBV-transformed_lymphocytes,MICA,c6,338,144,0,144,1.0,-0.5661553402777778,-0.594619
Cells_EBV-transformed_lymphocytes,MICA,c5,338,1,0,1,1.0,-0.408484,-0.408484
Cells_EBV-transformed_lymphocytes,HLA-B,c4,7,0,0,0,,,
Cells_EBV-transformed_lymphocytes,HLA-B,c6,7,1,0,1,1.0,-0.310281,-0.310281
Cells_EBV-transformed_lymphocytes,HLA-B,c5,7,0,0,0,,,
Cells_EBV-transformed_lymphocytes,HLA-C,c4,1008,32,9,23,0.71875,-0.14219309375,-0.437166
Cells_EBV-transformed_lymphocytes,HLA-C,c6,1008,54,29,25,0.5370370370370371,0.12074412962962962,0.347268
Cells_EBV-transformed_lymphocytes,HLA-C,c5,1008,225,0,225,1.0,-0.5355870622222221,-0.544909
Lung,MICA,c4,1956,190,0,190,1.0,-0.5125242842105263,-0.51128
Lung,MICA,c6,1956,328,0,328,1.0,-0.4861960121951219,-0.51128
Lung,MICA,c5,1956,8,0,8,1.0,-0.195165375,-0.19617099999999998
Lung,HLA-B,c4,1035,2,2,0,1.0,0.102714,0.102714
Lung,HLA-B,c6,1035,1,0,1,1.0,-0.136182,-0.136182
Lung,HLA-B,c5,1035,220,220,0,1.0,0.12297345409090907,0.126653
Lung,HLA-C,c4,2603,162,92,70,0.5679012345679012,-0.0033153518518518553,0.216063
Lung,HLA-C,c6,2603,134,107,27,0.7985074626865671,0.14041961194029853,0.216063
Lung,HLA-C,c5,2603,304,0,304,1.0,-0.4526758453947369,-0.47696
Skin_Sun_Exposed_Lower_leg,MICA,c4,2257,182,0,182,1.0,-0.6066453186813187,-0.623963
Skin_Sun_Exposed_Lower_leg,MICA,c6,2257,328,0,328,1.0,-0.5517766128048781,-0.617581
Skin_Sun_Exposed_Lower_leg,MICA,c5,2257,4,4,0,1.0,0.17249175,0.173069
Skin_Sun_Exposed_Lower_leg,HLA-B,c4,1499,4,4,0,1.0,0.18309799999999998,0.189944
Skin_Sun_Exposed_Lower_leg,HLA-B,c6,1499,29,28,1,0.9655172413793104,0.13848627586206896,0.148734
Skin_Sun_Exposed_Lower_leg,HLA-B,c5,1499,286,286,0,1.0,0.19363733916083917,0.206429
Skin_Sun_Exposed_Lower_leg,HLA-C,c4,2840,76,5,71,0.9342105263157895,-0.2806355394736842,-0.273503
Skin_Sun_Exposed_Lower_leg,HLA-C,c6,2840,28,0,28,1.0,-0.2808109642857143,-0.292288
Skin_Sun_Exposed_Lower_leg,HLA-C,c5,2840,304,0,304,1.0,-0.45279677302631577,-0.47401
Colon_Transverse,MICA,c4,1626,185,0,185,1.0,-0.721188118918919,-0.725795
Colon_Transverse,MICA,c6,1626,328,0,328,1.0,-0.6724500731707317,-0.725795
Colon_Transverse,MICA,c5,1626,8,0,8,1.0,-0.241544875,-0.240343
Colon_Transverse,HLA-B,c4,303,1,1,0,1.0,0.134408,0.134408
Colon_Transverse,HLA-B,c6,303,0,0,0,,,
Colon_Transverse,HLA-B,c5,303,134,134,0,1.0,0.13204219402985076,0.134115
Colon_Transverse,HLA-C,c4,1674,71,2,69,0.971830985915493,-0.1845664507042254,-0.185256
Colon_Transverse,HLA-C,c6,1674,23,0,23,1.0,-0.1350186521739131,-0.134974
Colon_Transverse,HLA-C,c5,1674,296,0,296,1.0,-0.2434028614864865,-0.259117
