section,label,outcome,score,n,beta,se,t,p,ci_lo_95,ci_hi_95,r2,covariates_in_model
A,M0: c5 only,log2_HLA-C,c5_score_z,117,-0.25142103678535027,0.09549421942416499,-2.632840378207518,0.009630980728081719,-0.44057670674906213,-0.062265366821638385,0.05685018758292426,score_z
A,M1: + clinical,log2_HLA-C,c5_score_z,117,-0.22176642858621004,0.09799639450659249,-2.263005998361411,0.025598367520056637,-0.4159722809890282,-0.02756057618339186,0.1302363588621933,"score_z, T_stage, viral_HCV, viral_NBNC, age, sex_M"
A,M2: + immune_PC1,log2_HLA-C,c5_score_z,117,-0.1619808205104738,0.0772142939029376,-2.097808738808026,0.03823351083085714,-0.3150170407653471,-0.00894460025560051,0.46953152233715045,"score_z, T_stage, viral_HCV, viral_NBNC, age, sex_M, immune_PC1"
A,M3: + immune_PC1 + HLA-A,log2_HLA-C,c5_score_z,117,-0.19260337156549892,0.05394511069993889,-3.570358259839795,0.0005335994287814317,-0.2995319395463056,-0.08567480358469226,0.7441668386642681,"score_z, T_stage, viral_HCV, viral_NBNC, age, sex_M, immune_PC1, log2_HLA-A"
B,M3 score variant: unweighted (top-5%),log2_HLA-C,c5_unweighted,117,-0.19260337156549895,0.05394511069993888,-3.570358259839796,0.0005335994287814308,-0.2995319395463056,-0.0856748035846923,0.744166838664268,"score_z, T_stage, viral_HCV, viral_NBNC, age, sex_M, immune_PC1, log2_HLA-A"
B,M3 score variant: H-loading weighted (all SNVs),log2_HLA-C,c5_weighted,117,-0.16005550086251713,0.05481549017694021,-2.9198954592191044,0.0042628176707601,-0.2687093119630073,-0.05140168976202697,0.7348981365896122,"score_z, T_stage, viral_HCV, viral_NBNC, age, sex_M, immune_PC1, log2_HLA-A"
B,M3 score variant: NNLS-projected,log2_HLA-C,c5_nnls,117,-0.1752958529094626,0.05482519325896203,-3.1973595073612944,0.0018197631015592721,-0.28396889720184226,-0.0666228086170829,0.7387041797521339,"score_z, T_stage, viral_HCV, viral_NBNC, age, sex_M, immune_PC1, log2_HLA-A"
C,M3 full: outcome = HLA-B,log2_HLA-B,c5_score_z,117,0.005244415653292655,0.050323521041686595,0.10421400459932698,0.9171928075226461,-0.09450553333968689,0.10499436464627221,0.8440531248938528,"score_z, T_stage, viral_HCV, viral_NBNC, age, sex_M, immune_PC1, log2_HLA-A"
C,M3 full: outcome = HLA-C,log2_HLA-C,c5_score_z,117,-0.19260337156549892,0.05394511069993889,-3.570358259839795,0.0005335994287814317,-0.2995319395463056,-0.08567480358469226,0.7441668386642681,"score_z, T_stage, viral_HCV, viral_NBNC, age, sex_M, immune_PC1, log2_HLA-A"
C,M3 full: outcome = MICA,log2_MICA,c5_score_z,117,-0.04499364018160934,0.06381922063465793,-0.7050170737618645,0.48231732033298413,-0.17149440704578506,0.08150712668256638,0.12595466718197545,"score_z, T_stage, viral_HCV, viral_NBNC, age, sex_M, immune_PC1, log2_HLA-A"
C,M3 full: outcome = MICB,log2_MICB,c5_score_z,117,-0.011713831431089124,0.06200003401722212,-0.18893266135685188,0.8505001814006398,-0.13460865482108675,0.11118099195890851,0.325503401412662,"score_z, T_stage, viral_HCV, viral_NBNC, age, sex_M, immune_PC1, log2_HLA-A"
C,M3 full: outcome = HCG27,log2_HCG27,c5_score_z,117,0.06198268919335037,0.054270189712230923,1.1421130001943087,0.25593285408233457,-0.04559024178558509,0.16955562017228581,0.16363516864575145,"score_z, T_stage, viral_HCV, viral_NBNC, age, sex_M, immune_PC1, log2_HLA-A"
C,M3 full: outcome = HCP5,log2_HCP5,c5_score_z,117,0.006996007723026504,0.05843906791741157,0.11971456719524587,0.9049316720491268,-0.10884036308914795,0.12283237853520095,0.6789992866820697,"score_z, T_stage, viral_HCV, viral_NBNC, age, sex_M, immune_PC1, log2_HLA-A"
C,M3 (no HLA-A on RHS): outcome = HLA-A,log2_HLA-A,c5_score_z,117,0.03828018550050708,0.06945104291541966,0.5511822989775153,0.5826367903404115,-0.09936952368281371,0.17592989468382786,0.5229309099390012,"score_z, T_stage, viral_HCV, viral_NBNC, age, sex_M, immune_PC1"
