k,cophenetic_corr,dispersion,mean_recon_err,std_recon_err,n_seeds
2,0.9975893177106113,0.9783991202712059,1367.2734802246093,6.985792933508055e-05,20
3,0.9934588314639281,0.947025578469038,1272.9024963378906,0.0006174815479409704,20
4,0.9913404739697468,0.9536448307335377,1188.6905517578125,0.00031597116956896446,20
5,0.9640990756882629,0.8247027546167374,1141.3445556640625,4.176487181491366,20
6,0.9872079796512125,0.8879819437861443,1089.430224609375,0.04950367939404228,20
7,0.9792216459730873,0.9073439538478851,1043.7283813476563,3.769792618046054,20
8,0.9634789979190562,0.8483050763607025,1007.8359313964844,3.4586033525574886,20
9,0.9632225590643916,0.8625533729791641,972.4125335693359,3.7627436305569084,20
10,0.9749904446634313,0.8590467274188995,939.1150146484375,3.3150696642634228,20
11,0.9658767224519739,0.8422576934099197,911.2269592285156,2.4760580640825163,20
12,0.9685117075701202,0.8671614676713943,883.0663787841797,2.3686045944785317,20
